Date,Amount,GST Rate,GST Amount
2024-12-03,5.70,0.09,0.5130
2024-12-03,8.30,0.09,0.7470
2024-12-03,6.30,0.09,0.5670
2024-12-03,4.50,0.09,0.4050
2024-12-02,8.60,0.09,0.7740
2024-12-02,4.70,0.09,0.4230
2024-12-02,1.30,0.09,0.1170
2024-12-01,6.12,0.09,0.5508
2024-12-01,26.88,0.09,2.4192
2024-12-01,1.50,0.09,0.1350
2024-12-01,4.70,0.09,0.4230
2024-12-01,0.80,0.09,0.0720
2024-12-01,1.44,0.09,0.1296
2024-12-01,5.76,0.09,0.5184
2024-11-30,15.00,0.09,1.3500
2024-11-30,20.00,0.09,1.8000
2024-11-30,3.90,0.09,0.3510
2024-11-29,4.90,0.09,0.4410
2024-11-29,1.60,0.09,0.1440
2024-11-29,5.30,0.09,0.4770
2024-11-29,1.30,0.09,0.1170
2024-11-28,1.10,0.09,0.0990
2024-11-28,10.90,0.09,0.9810
2024-11-28,1.89,0.09,0.1701
2024-11-28,1.89,0.09,0.1701
2024-11-28,1.30,0.09,0.1170
2024-11-28,2.00,0.09,0.1800
2024-11-28,3.60,0.09,0.3240
2024-11-27,300.00,0.09,27.0000
2024-11-26,1.35,0.09,0.1215
2024-11-26,1.50,0.09,0.1350
2024-11-26,1.30,0.09,0.1170
2024-11-26,5.70,0.09,0.5130
2024-11-26,9.35,0.09,0.8415
2024-11-25,2.20,0.09,0.1980
2024-11-25,2.80,0.09,0.2520
2024-11-24,7.10,0.09,0.6390
2024-11-24,5.10,0.09,0.4590
2024-11-24,1.30,0.09,0.1170
2024-11-23,6.00,0.09,0.5400
2024-11-23,1.80,0.09,0.1620
2024-11-23,5.00,0.09,0.4500
2024-11-22,1.80,0.09,0.1620
2024-11-22,1.30,0.09,0.1170
2024-11-22,6.80,0.09,0.6120
2024-11-22,36.95,0.09,3.3255
2024-11-21,2.20,0.09,0.1980
2024-11-21,50.00,0.09,4.5000
2024-11-21,3.80,0.09,0.3420
2024-11-21,1.90,0.09,0.1710
2024-11-21,7.00,0.09,0.6300
2024-11-21,1.80,0.09,0.1620
2024-11-20,1.70,0.09,0.1530
2024-11-20,5.80,0.09,0.5220
2024-11-20,48.00,0.09,4.3200
2024-11-19,5.30,0.09,0.4770
2024-11-19,6.80,0.09,0.6120
2024-11-19,2.34,0.09,0.2106
2024-11-19,1.70,0.09,0.1530
2024-11-19,1.80,0.09,0.1620
2024-11-18,83.09,0.09,7.4781
2024-11-18,6.12,0.09,0.5508
2024-11-18,1.70,0.09,0.1530
2024-11-18,1.80,0.09,0.1620
2024-11-18,6.80,0.09,0.6120
2024-11-17,6.80,0.09,0.6120
2024-11-17,1.89,0.09,0.1701
2024-11-17,2.34,0.09,0.2106
2024-11-16,1.89,0.09,0.1701
2024-11-16,15.00,0.09,1.3500
2024-11-16,1.30,0.09,0.1170
2024-11-16,12.50,0.09,1.1250
2024-11-16,36.50,0.09,3.2850
2024-11-15,1.30,0.09,0.1170
2024-11-15,5.30,0.09,0.4770
2024-11-15,1.60,0.09,0.1440
