expenses list,,,,,,,,,,
Date and time,Category,Account,Amount in default currency,Default currency,Amount in account currency,Account currency,Transaction amount in transaction currency,Transaction currency,Tags,Comment
4/2/2025,Food,Main,2.50,SGD,2.50,SGD,,,,
4/2/2025,Leisure,Main,10.00,SGD,10.00,SGD,,,,toto
4/2/2025,Food,Main,9.00,SGD,9.00,SGD,,,,
4/2/2025,Leisure,Main,17.49,SGD,17.49,SGD,,,,shopee PayLater
3/2/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
3/2/2025,Food,Main,2.00,SGD,2.00,SGD,,,,
3/2/2025,Food,Main,7.30,SGD,7.30,SGD,,,,
2/2/2025,Leisure,Main,28.00,SGD,28.00,SGD,,,,
2/2/2025,Leisure,Main,4.90,SGD,4.90,SGD,,,,
2/2/2025,Groceries,Main,11.10,SGD,11.10,SGD,,,,
2/2/2025,Food,Main,1.50,SGD,1.50,SGD,,,,
2/2/2025,Food,Main,1.70,SGD,1.70,SGD,,,,
2/2/2025,Food,Main,6.00,SGD,6.00,SGD,,,,
2/2/2025,Ciggaretes,Main,14.40,SGD,14.40,SGD,,,,
1/2/2025,Leisure,Main,12.50,SGD,12.50,SGD,,,,JJ gift
1/2/2025,Groceries,Main,14.00,SGD,14.00,SGD,,,,
1/2/2025,Groceries,Main,16.00,SGD,16.00,SGD,,,,
1/2/2025,Food,Main,1.60,SGD,1.60,SGD,,,,
1/2/2025,Food,Main,7.00,SGD,7.00,SGD,,,,
31/1/2025,Leisure,Main,6.46,SGD,6.46,SGD,,,,
31/1/2025,Groceries,Main,3.00,SGD,3.00,SGD,,,,
31/1/2025,Food,Main,7.00,SGD,7.00,SGD,,,,
30/1/2025,Groceries,Main,1.70,SGD,1.70,SGD,,,,
30/1/2025,Groceries,Main,12.98,SGD,12.98,SGD,,,,
30/1/2025,Credit Card Bill,Main,500.00,SGD,500.00,SGD,,,,Airplane ticket
29/1/2025,Leisure,Main,46.00,SGD,46.00,SGD,,,,Massage unable to claim
29/1/2025,Ciggaretes,Main,14.40,SGD,14.40,SGD,,,,
29/1/2025,Groceries,Main,4.95,SGD,4.95,SGD,,,,
29/1/2025,Groceries,Main,4.11,SGD,4.11,SGD,,,,
28/1/2025,Food,Main,8.40,SGD,8.40,SGD,,,,
28/1/2025,Food,Main,5.40,SGD,5.40,SGD,,,,
28/1/2025,Food,Main,1.50,SGD,1.50,SGD,,,,
28/1/2025,Food,Main,2.10,SGD,2.10,SGD,,,,
27/1/2025,Leisure,Main,12.90,SGD,12.90,SGD,,,,foot spray
27/1/2025,Food,Main,5.80,SGD,5.80,SGD,,,,
26/1/2025,Groceries,Main,5.50,SGD,5.50,SGD,,,,
26/1/2025,Groceries,Main,10.30,SGD,10.30,SGD,,,,
26/1/2025,Groceries,Main,5.93,SGD,5.93,SGD,,,,
26/1/2025,Food,Main,11.40,SGD,11.40,SGD,,,,
25/1/2025,Groceries,Main,5.90,SGD,5.90,SGD,,,,
25/1/2025,Groceries,Main,17.93,SGD,17.93,SGD,,,,
25/1/2025,Leisure,Main,17.62,SGD,17.62,SGD,,,,Kitchenware
25/1/2025,Home,Main,550.00,SGD,550.00,SGD,,,,
25/1/2025,Home,Main,5.00,SGD,5.00,SGD,,,,
25/1/2025,Groceries,Main,11.25,SGD,11.25,SGD,,,,
